T_K,NCa_mol_per_m2,Ecalc,t_star_s,sigma_s
1163.0,3000.0,0.6994630055384033,48.456475470982944,63.492063492063494
1163.0,3500.0,0.7339502643990828,48.456475470982944,74.07407407407408
1163.0,4000.0,0.7614111633067598,48.456475470982944,84.65608465608466
1163.0,4500.0,0.7837749080893673,48.456475470982944,95.23809523809524
1163.0,5000.0,0.8023300760468184,48.456475470982944,105.82010582010582
1163.0,5500.0,0.8179676994602502,48.456475470982944,116.4021164021164
1163.0,6000.0,0.8313225233475254,48.456475470982944,126.98412698412699
1163.0,6500.0,0.8428584572569249,48.456475470982944,137.56613756613757
1163.0,7000.0,0.8529221653598723,48.456475470982944,148.14814814814815
1163.0,7500.0,0.8617777654458094,48.456475470982944,158.73015873015873
1163.0,8000.0,0.8696299395973298,48.456475470982944,169.31216931216932
1163.0,8500.0,0.8766397167079174,48.456475470982944,179.8941798941799
1163.0,9000.0,0.8829354931896625,48.456475470982944,190.47619047619048
1163.0,9500.0,0.8886208832635214,48.456475470982944,201.05820105820106
1163.0,10000.0,0.8937804117362529,48.456475470982944,211.64021164021165
1163.0,10500.0,0.8984837093315381,48.456475470982944,222.22222222222223
1163.0,11000.0,0.9027886499865865,48.456475470982944,232.8042328042328
1163.0,11500.0,0.9067437283571158,48.456475470982944,243.3862433862434
1163.0,12000.0,0.9103898835662488,48.456475470982944,253.96825396825398
1163.0,12500.0,0.9137619138524024,48.456475470982944,264.55026455026456
1163.0,13000.0,0.9168895851948059,48.456475470982944,275.13227513227514
1163.0,13500.0,0.9197985083789191,48.456475470982944,285.7142857142857
1163.0,14000.0,0.9225108389749681,48.456475470982944,296.2962962962963
1163.0,14500.0,0.9250458405481633,48.456475470982944,306.8783068783069
1163.0,15000.0,0.9274203412680554,48.456475470982944,317.46031746031747
1168.0,3000.0,0.8391716252186256,22.95632749070661,63.492063492063494
1168.0,3500.0,0.859885054889,22.95632749070661,74.07407407407408
1168.0,4000.0,0.8758821176779809,22.95632749070661,84.65608465608466
1168.0,4500.0,0.8886062842656283,22.95632749070661,95.23809523809524
1168.0,5000.0,0.8989673997676785,22.95632749070661,105.82010582010582
1168.0,5500.0,0.9075670773390846,22.95632749070661,116.4021164021164
1168.0,6000.0,0.9148188892306808,22.95632749070661,126.98412698412699
1168.0,6500.0,0.9210164428090657,22.95632749070661,137.56613756613757
1168.0,7000.0,0.9263739036732863,22.95632749070661,148.14814814814815
1168.0,7500.0,0.9310511439154714,22.95632749070661,158.73015873015873
1168.0,8000.0,0.9351699118692562,22.95632749070661,169.31216931216932
1168.0,8500.0,0.9388245509724271,22.95632749070661,179.8941798941799
1168.0,9000.0,0.9420892964053462,22.95632749070661,190.47619047619048
1168.0,9500.0,0.9450233592626534,22.95632749070661,201.05820105820106
1168.0,10000.0,0.9476745429700402,22.95632749070661,211.64021164021165
1168.0,10500.0,0.9500818634284803,22.95632749070661,222.22222222222223
1168.0,11000.0,0.9522774789309776,22.95632749070661,232.8042328042328
1168.0,11500.0,0.9542881330012547,22.95632749070661,243.3862433862434
1168.0,12000.0,0.9561362477464403,22.95632749070661,253.96825396825398
1168.0,12500.0,0.9578407626296812,22.95632749070661,264.55026455026456
1168.0,13000.0,0.9594177852209089,22.95632749070661,275.13227513227514
1168.0,13500.0,0.9608811013170954,22.95632749070661,285.7142857142857
1168.0,14000.0,0.9622425786488666,22.95632749070661,296.2962962962963
1168.0,14500.0,0.9635124891970153,22.95632749070661,306.8783068783069
1168.0,15000.0,0.9646997686371238,22.95632749070661,317.46031746031747
1173.0,3000.0,0.8954775913726966,14.286580680425981,63.492063492063494
1173.0,3500.0,0.9094775484843165,14.286580680425981,74.07407407407408
1173.0,4000.0,0.9201728636744296,14.286580680425981,84.65608465608466
1173.0,4500.0,0.9286093722034655,14.286580680425981,95.23809523809524
1173.0,5000.0,0.935433947930209,14.286580680425981,105.82010582010582
1173.0,5500.0,0.941068094608348,14.286580680425981,116.4021164021164
1173.0,6000.0,0.9457981929929581,14.286580680425981,126.98412698412699
1173.0,6500.0,0.9498256120562548,14.286580680425981,137.56613756613757
1173.0,7000.0,0.9532960656265689,14.286580680425981,148.14814814814815
1173.0,7500.0,0.9563175928665937,14.286580680425981,158.73015873015873
1173.0,8000.0,0.9589719925904836,14.286580680425981,169.31216931216932
1173.0,8500.0,0.9613223322844071,14.286580680425981,179.8941798941799
1173.0,9000.0,0.9634180185821724,14.286580680425981,190.47619047619048
1173.0,9500.0,0.9652983055151486,14.286580680425981,201.05820105820106
1173.0,10000.0,0.9669947745780285,14.286580680425981,211.64021164021165
1173.0,10500.0,0.9685331217529924,14.286580680425981,222.22222222222223
1173.0,11000.0,0.9699344673566487,14.286580680425981,232.8042328042328
1173.0,11500.0,0.9712163310143879,14.286580680425981,243.3862433862434
1173.0,12000.0,0.9723933675523784,14.286580680425981,253.96825396825398
1173.0,12500.0,0.9734779295144353,14.286580680425981,264.55026455026456
1173.0,13000.0,0.9744805021542303,14.286580680425981,275.13227513227514
1173.0,13500.0,0.9754100434010283,14.286580680425981,285.7142857142857
1173.0,14000.0,0.9762742521654242,14.286580680425981,296.2962962962963
1173.0,14500.0,0.9770797820082608,14.286580680425981,306.8783068783069
1173.0,15000.0,0.9778324127263038,14.286580680425981,317.46031746031747
1183.0,3000.0,0.9438710870835532,7.407331576131759,63.492063492063494
1183.0,3500.0,0.9516262986238307,7.407331576131759,74.07407407407408
1183.0,4000.0,0.9574990322942314,7.407331576131759,84.65608465608466
1183.0,4500.0,0.9621004161928255,7.407331576131759,95.23809523809524
1183.0,5000.0,0.9658029147850753,7.407331576131759,105.82010582010582
1183.0,5500.0,0.9688464592291305,7.407331576131759,116.4021164021164
1183.0,6000.0,0.9713925751071335,7.407331576131759,126.98412698412699
1183.0,6500.0,0.9735539880596333,7.407331576131759,137.56613756613757
1183.0,7000.0,0.9754117575431429,7.407331576131759,148.14814814814815
1183.0,7500.0,0.9770256658445389,7.407331576131759,158.73015873015873
1183.0,8000.0,0.9784407690629203,7.407331576131759,169.31216931216932
1183.0,8500.0,0.97969166824012,7.407331576131759,179.8941798941799
1183.0,9000.0,0.9808053755165286,7.407331576131759,190.47619047619048
1183.0,9500.0,0.9818032864560593,7.407331576131759,201.05820105820106
1183.0,10000.0,0.9827025676665248,7.407331576131759,211.64021164021165
1183.0,10500.0,0.9835171524156231,7.407331576131759,222.22222222222223
1183.0,11000.0,0.9842584676279048,7.407331576131759,232.8042328042328
1183.0,11500.0,0.9849359731749397,7.407331576131759,243.3862433862434
1183.0,12000.0,0.985557567666928,7.407331576131759,253.96825396825398
1183.0,12500.0,0.9861298977720078,7.407331576131759,264.55026455026456
1183.0,13000.0,0.9866585968005535,7.407331576131759,275.13227513227514
1183.0,13500.0,0.9871484707329389,7.407331576131759,285.7142857142857
1183.0,14000.0,0.9876036447190908,7.407331576131759,296.2962962962963
1183.0,14500.0,0.9880276795135798,7.407331576131759,306.8783068783069
1183.0,15000.0,0.9884236648062383,7.407331576131759,317.46031746031747
1193.0,3000.0,0.9649259083917349,4.5611401975205785,63.492063492063494
1193.0,3500.0,0.9698346160389,4.5611401975205785,74.07407407407408
1193.0,4000.0,0.9735381334004091,4.5611401975205785,84.65608465608466
1193.0,4500.0,0.9764317539956385,4.5611401975205785,95.23809523809524
1193.0,5000.0,0.9787549460559214,4.5611401975205785,105.82010582010582
1193.0,5500.0,0.9806612443793989,4.5611401975205785,116.4021164021164
1193.0,6000.0,0.9822536221994763,4.5611401975205785,126.98412698412699
1193.0,6500.0,0.9836037208161095,4.5611401975205785,137.56613756613757
1193.0,7000.0,0.984762923693758,4.5611401975205785,148.14814814814815
1193.0,7500.0,0.9857690438687992,4.5611401975205785,158.73015873015873
1193.0,8000.0,0.9866505263473688,4.5611401975205785,169.31216931216932
1193.0,8500.0,0.9874291799655781,4.5611401975205785,179.8941798941799
1193.0,9000.0,0.988122005965411,4.5611401975205785,190.47619047619048
1193.0,9500.0,0.9887424535294909,4.5611401975205785,201.05820105820106
1193.0,10000.0,0.9893013013827193,4.5611401975205785,211.64021164021165
1193.0,10500.0,0.9898072892438697,4.5611401975205785,222.22222222222223
1193.0,11000.0,0.9902675781955287,4.5611401975205785,232.8042328042328
1193.0,11500.0,0.9906880917127943,4.5611401975205785,243.3862433862434
1193.0,12000.0,0.9910737719481669,4.5611401975205785,253.96825396825398
1193.0,12500.0,0.9914287748637339,4.5611401975205785,264.55026455026456
1193.0,13000.0,0.9917566205830731,4.5611401975205785,275.13227513227514
1193.0,13500.0,0.9920603105103102,4.5611401975205785,285.7142857142857
1193.0,14000.0,0.9923424194816324,4.5611401975205785,296.2962962962963
1193.0,14500.0,0.9926051689460325,4.5611401975205785,306.8783068783069
1193.0,15000.0,0.9928504855801253,4.5611401975205785,317.46031746031747
