T_K,fCO2,Ecalc,t_star_s,sigma_s
1160.0,0.7,0.9444119193131463,24.443855232995183,211.64021164021165
1160.5,0.7,0.9470400313286435,23.245079983978503,211.64021164021165
1161.0,0.7,0.9494637833566834,22.143481930407038,211.64021164021165
1161.5,0.7,0.951705782888119,21.127853049381986,211.64021164021165
1162.0,0.7,0.9537854261959486,20.18864354630053,211.64021164021165
1162.5,0.7,0.9557194486812891,19.31766614010816,211.64021164021165
1163.0,0.7,0.9575223658306542,18.507861451458112,211.64021164021165
1163.5,0.7,0.9592068293279591,17.7531102543376,211.64021164021165
1164.0,0.7,0.9607839167689228,17.04808202194513,211.64021164021165
1164.5,0.7,0.9622633689811916,16.38811183679272,211.64021164021165
1165.0,0.7,0.9636537856779813,15.769099655252276,211.64021164021165
1165.5,0.7,0.9649627877349177,15.187427329256444,211.64021164021165
1166.0,0.7,0.9661971525473286,14.63988983754487,211.64021164021165
1166.5,0.7,0.9673629275364596,14.123637966383582,211.64021164021165
1167.0,0.7,0.9684655258111472,13.636130275842497,211.64021164021165
1167.5,0.7,0.9695098071736457,13.17509264283101,211.64021164021165
1168.0,0.7,0.9705001470233403,12.73848402227514,211.64021164021165
1168.5,0.7,0.9714404952161227,12.32446733928483,211.64021164021165
1169.0,0.7,0.9723344265467591,11.931384637094796,211.64021164021165
1169.5,0.7,0.9731851842127489,11.557735772118635,211.64021164021165
1170.0,0.7,0.9739957173720782,11.20216007918611,211.64021164021165
1170.5,0.7,0.9747687137103208,10.86342053483863,211.64021164021165
1171.0,0.7,0.9755066277738473,10.540390030420776,211.64021164021165
1171.5,0.7,0.9762117056976106,10.232039434176162,211.64021164021165
1172.0,0.7,0.9768860068516043,9.937427176113141,211.64021164021165
1172.5,0.7,0.9775314228446939,9.65569013374312,211.64021164021165
1173.0,0.7,0.9781496942547542,9.386035632997537,211.64021164021165
1173.5,0.7,0.9787424253961526,9.12773440831396,211.64021164021165
1174.0,0.7,0.9793110973880433,8.880114390339388,211.64021164021165
1174.5,0.7,0.9798570797473043,8.64255520992067,211.64021164021165
1175.0,0.7,0.9803816406967139,8.414483323845554,211.64021164021165
1175.5,0.7,0.9808859563515552,8.195367681793234,211.64021164021165
1176.0,0.7,0.981371118924416,7.984715865660541,211.64021164021165
1176.5,0.7,0.9818381440684443,7.782070642256217,211.64021164021165
1177.0,0.7,0.9822879774628129,7.587006878632634,211.64021164021165
1177.5,0.7,0.9827215007300105,7.399128776316307,211.64021164021165
1178.0,0.7,0.9831395367628112,7.2180673866265,211.64021164021165
1178.5,0.7,0.9835428545284278,7.043478374308611,211.64021164021165
1179.0,0.7,0.983932173408787,6.875040001004364,211.64021164021165
1179.5,0.7,0.984308167128353,6.7124513037543645,211.64021164021165
1180.0,0.7,0.9846714673144416,6.555430446875235,211.64021164021165
1180.5,0.7,0.9850226667296378,6.403713228259421,211.64021164021165
1181.0,0.7,0.9853623222108926,6.257051723477865,211.64021164021165
1181.5,0.7,0.9856909573460029,6.1152130530776825,211.64021164021165
1182.0,0.7,0.9860090649143168,5.977978260211172,211.64021164021165
1182.5,0.7,0.9863171091156878,5.845141287245247,211.64021164021165
1183.0,0.7,0.9866155276086734,5.716508041314451,211.64021164021165
1183.5,0.7,0.9869047333768344,5.591895539928738,211.64021164021165
1184.0,0.7,0.9871851164397806,5.471131128746843,211.64021164021165
1184.5,0.7,0.9874570454238375,5.3540517645032075,211.64021164021165
1185.0,0.7,0.9877208690055981,5.240503356844077,211.64021164021165
1185.5,0.7,0.9879769172401471,5.130340163502565,211.64021164021165
1186.0,0.7,0.9882255027846369,5.023424233837756,211.64021164021165
1186.5,0.7,0.9884669220266441,4.919624896284529,211.64021164021165
1187.0,0.7,0.9887014561259297,4.818818285724811,211.64021164021165
1187.5,0.7,0.988929371977104,4.720886907199065,211.64021164021165
1188.0,0.7,0.989150923100302,4.625719232739321,211.64021164021165
1188.5,0.7,0.9893663504659616,4.533209328427419,211.64021164021165
1189.0,0.7,0.9895758832592421,4.4432565090670115,211.64021164021165
1189.5,0.7,0.9897797395894509,4.355765018113813,211.64021164021165
1190.0,0.7,0.9899781271486862,4.270643730734094,211.64021164021165
1190.5,0.7,0.9901712438241599,4.187805878065612,211.64021164021165
1191.0,0.7,0.9903592782678214,4.107168790935083,211.64021164021165
1191.5,0.7,0.9905424104268106,4.028653661449708,211.64021164021165
1192.0,0.7,0.9907208120376529,3.952185321024644,211.64021164021165
1192.5,0.7,0.9908946470873573,3.877692033540223,211.64021164021165
1193.0,0.7,0.9910640722436546,3.80510530243887,211.64021164021165
1193.5,0.7,0.9912292372570487,3.7343596906782217,211.64021164021165
1194.0,0.7,0.9913902853365283,3.6653926525519904,211.64021164021165
1194.5,0.7,0.9915473535012304,3.5981443764756365,211.64021164021165
1195.0,0.7,0.9917005729095367,3.5325576379121775,211.64021164021165
1160.0,0.8,0.7652413789586255,118.79695337189986,211.64021164021165
1160.5,0.8,0.803313119644771,96.35211936224647,211.64021164021165
1161.0,0.8,0.8311671491194539,80.84527371064488,211.64021164021165
1161.5,0.8,0.8524111316635767,69.49185257588996,211.64021164021165
1162.0,0.8,0.8691390771405564,60.821561716726606,211.64021164021165
1162.5,0.8,0.8826473205959465,53.984820661322615,211.64021164021165
1163.0,0.8,0.8937804117362529,48.456475470982944,211.64021164021165
1163.5,0.8,0.9031117837859921,43.894434754213144,211.64021164021165
1164.0,0.8,0.9110442956217848,40.066297109993556,211.64021164021165
1164.5,0.8,0.9178691845967617,36.80864942400577,211.64021164021165
1165.0,0.8,0.9238021794064204,34.00323649452012,211.64021164021165
1165.5,0.8,0.9290064589093397,31.562370302229645,211.64021164021165
1166.0,0.8,0.9336077215478501,29.41965309478798,211.64021164021165
1166.5,0.8,0.9377043543368052,27.523885702959287,211.64021164021165
1167.0,0.8,0.9413744636741278,25.834954225904113,211.64021164021165
1167.5,0.8,0.9446808418483064,24.320983985234268,211.64021164021165
1168.0,0.8,0.9476745429700402,22.95632749070661,211.64021164021165
1168.5,0.8,0.9503975020873608,21.720114561061195,211.64021164021165
1169.0,0.8,0.952884483283758,20.59518951170441,211.64021164021165
1169.5,0.8,0.9551645490304457,19.56731998927824,211.64021164021165
1170.0,0.8,0.957262182601408,18.62459976001613,211.64021164021165
1170.5,0.8,0.9591981554702679,17.756992157136697,211.64021164021165
1171.0,0.8,0.9609902047997079,16.955976996781995,211.64021164021165
1171.5,0.8,0.9626535678095991,16.214274600960838,211.64021164021165
1172.0,0.8,0.9642014070885928,15.525627972216466,211.64021164021165
1172.5,0.8,0.9656451519548063,14.884629309534638,211.64021164021165
1173.0,0.8,0.9669947745780285,14.286580680425981,211.64021164021165
1173.5,0.8,0.9682590149572122,13.7273812528549,211.64021164021165
1174.0,0.8,0.9694455654721923,13.20343536200869,211.64021164021165
1174.5,0.8,0.9705612232363431,12.711577055087393,211.64021164021165
1175.0,0.8,0.9716120166179204,12.249007768310909,211.64021164021165
1175.5,0.8,0.972603310898459,11.81324454485698,211.64021164021165
1176.0,0.8,0.9735398969738391,11.402076770789309,211.64021164021165
1176.5,0.8,0.974426066189948,11.013529837883581,211.64021164021165
1177.0,0.8,0.9752656737769683,10.64583447309342,211.64021164021165
1177.5,0.8,0.9760621928583908,10.297400729801085,211.64021164021165
1178.0,0.8,0.9768187606289026,9.966795834613382,211.64021164021165
1178.5,0.8,0.9775382179944384,9.652725238974826,211.64021164021165
1179.0,0.8,0.9782231437293313,9.354016347432939,211.64021164021165
1179.5,0.8,0.9788758840152382,9.06960449158224,211.64021164021165
1180.0,0.8,0.9794985780742189,8.798520796233714,211.64021164021165
1180.5,0.8,0.9800931804854714,8.539881646536779,211.64021164021165
1181.0,0.8,0.980661480675621,8.29287951492102,211.64021164021165
1181.5,0.8,0.9812051199915929,8.056774947355876,211.64021164021165
1182.0,0.8,0.9817256066987163,7.83088954151754,211.64021164021165
1182.5,0.8,0.9822243291923584,7.614599776522979,211.64021164021165
1183.0,0.8,0.9827025676665248,7.407331576131759,211.64021164021165
1183.5,0.8,0.9831615044456087,7.208555505673725,211.64021164021165
1184.0,0.8,0.9836022331546371,7.017782518164116,211.64021164021165
1184.5,0.8,0.9840257668775007,6.834560177716807,211.64021164021165
1185.0,0.8,0.9844330454312068,6.658469298922957,211.64021164021165
1185.5,0.8,0.9848249418657666,6.489120949706316,211.64021164021165
1186.0,0.8,0.9852022682843148,6.326153772604068,211.64021164021165
1186.5,0.8,0.9855657810649413,6.16923158568992,211.64021164021165
1187.0,0.8,0.9859161855547655,6.018041229664564,211.64021164021165
1187.5,0.8,0.9862541402974576,5.872290632140087,211.64021164021165
1188.0,0.8,0.9865802608474145,5.731707063977672,211.64021164021165
1188.5,0.8,0.98689512321698,5.596035565810593,211.64021164021165
1189.0,0.8,0.9871992669972627,5.465037525683209,211.64021164021165
1189.5,0.8,0.98749319818804,5.33848939114185,211.64021164021165
1190.0,0.8,0.9877773917678698,5.216181501179174,211.64021164021165
1190.5,0.8,0.9880522940318679,5.097917025219291,211.64021164021165
1191.0,0.8,0.9883183247211975,4.983510997871081,211.64021164021165
1191.5,0.8,0.9885758789657827,4.872789439515231,211.64021164021165
1192.0,0.8,0.9888253290588139,4.7655885539495815,211.64021164021165
1192.5,0.8,0.9890670260800872,4.661753995329629,211.64021164021165
1193.0,0.8,0.9893013013827193,4.5611401975205785,211.64021164021165
1193.5,0.8,0.9895284679566984,4.463609759748888,211.64021164021165
1194.0,0.8,0.9897488216808411,4.36903288311576,211.64021164021165
1194.5,0.8,0.9899626424737493,4.2772868531264265,211.64021164021165
1195.0,0.8,0.9901701953531631,4.188255563910595,211.64021164021165
1160.0,0.9,0.0,inf,211.64021164021165
1160.5,0.9,0.0,inf,211.64021164021165
1161.0,0.9,0.0,inf,211.64021164021165
1161.5,0.9,0.0,inf,211.64021164021165
1162.0,0.9,0.0,inf,211.64021164021165
1162.5,0.9,0.0,inf,211.64021164021165
1163.0,0.9,0.0,inf,211.64021164021165
1163.5,0.9,0.0,inf,211.64021164021165
1164.0,0.9,0.0,inf,211.64021164021165
1164.5,0.9,0.0,inf,211.64021164021165
1165.0,0.9,0.0,inf,211.64021164021165
1165.5,0.9,0.0,inf,211.64021164021165
1166.0,0.9,0.0,inf,211.64021164021165
1166.5,0.9,0.362747881320012,537.3827031088649,211.64021164021165
1167.0,0.9,0.5922750476850893,245.10349337219554,211.64021164021165
1167.5,0.9,0.704707002307021,157.91001962334732,211.64021164021165
1168.0,0.9,0.7698240045380259,116.0136896570049,211.64021164021165
1168.5,0.9,0.8120694433091804,91.39818485713077,211.64021164021165
1169.0,0.9,0.8416341493775791,75.20218192045446,211.64021164021165
1169.5,0.9,0.8634615354004366,63.73851587271988,211.64021164021165
1170.0,0.9,0.8802280450336214,55.19872528486847,211.64021164021165
1170.5,0.9,0.8935058386930569,48.59169139345332,211.64021164021165
1171.0,0.9,0.9042780348146823,43.32876215356308,211.64021164021165
1171.5,0.9,0.9131905625900366,39.0382913365147,211.64021164021165
1172.0,0.9,0.9206851410472077,35.474078343325516,211.64021164021165
1172.5,0.9,0.9270739924674526,32.46655837061173,211.64021164021165
1173.0,0.9,0.9325840188311401,29.895136949252908,211.64021164021165
1173.5,0.9,0.9373840622319586,27.671702111105343,211.64021164021165
1174.0,0.9,0.9416023478056301,25.73037783097671,211.64021164021165
1174.5,0.9,0.9453379980913991,24.02092599791583,211.64021164021165
1175.0,0.9,0.9486688424507715,22.504366155805958,211.64021164021165
1175.5,0.9,0.951656840942116,21.149989457960796,211.64021164021165
1176.0,0.9,0.954351931288302,19.933275184418967,211.64021164021165
1176.5,0.9,0.9567948088970856,18.834406809770663,211.64021164021165
1177.0,0.9,0.9590189698039875,17.837195549759684,211.64021164021165
1177.5,0.9,0.9610522348173994,16.928286559713023,211.64021164021165
1178.0,0.9,0.9629179022883518,16.096564827747255,211.64021164021165
1178.5,0.9,0.9646356309307372,15.332704511710329,211.64021164021165
1179.0,0.9,0.9662221236565406,14.628822876964426,211.64021164021165
1179.5,0.9,0.9676916628464456,13.978211565227582,211.64021164021165
1180.0,0.9,0.9690565333882425,13.375125757893969,211.64021164021165
1180.5,0.9,0.970327360005319,12.81461718686142,211.64021164021165
1181.0,0.9,0.9715133784696792,12.292400710525534,211.64021164021165
1181.5,0.9,0.9726226553371491,11.804746838964755,211.64021164021165
1182.0,0.9,0.9736622672528469,11.348394505277966,211.64021164021165
1182.5,0.9,0.9746384482461167,10.92047976888648,211.64021164021165
1183.0,0.9,0.9755567114886129,10.518477156195322,211.64021164021165
1183.5,0.9,0.9764219505350868,10.140151100298635,211.64021164021165
1184.0,0.9,0.9772385239698503,9.783515507831932,211.64021164021165
1184.5,0.9,0.9780103265474775,9.446799909164659,211.64021164021165
1185.0,0.9,0.9787408492764471,9.128420974420305,211.64021164021165
1185.5,0.9,0.9794332303998331,8.826958428518095,211.64021164021165
1186.0,0.9,0.9800902988423484,8.54113459252082,211.64021164021165
1186.5,0.9,0.9807146113911528,8.269796929894222,211.64021164021165
1187.0,0.9,0.981308484640053,8.011903095071316,211.64021164021165
1187.5,0.9,0.9818740225376764,7.766508075547436,211.64021164021165
1188.0,0.9,0.9824131402295939,7.532753093307885,211.64021164021165
1188.5,0.9,0.9829275847632208,7.309855991002684,211.64021164021165
1189.0,0.9,0.9834189531267586,7.097102876190328,211.64021164021165
1189.5,0.9,0.9838887080141956,6.893840835681969,211.64021164021165
1190.0,0.9,0.984338191643934,6.699471563440267,211.64021164021165
1190.5,0.9,0.9847686379056398,6.513445771127156,211.64021164021165
1191.0,0.9,0.9851811830666886,6.335258271399579,211.64021164021165
1191.5,0.9,0.9855768752335586,6.16444364134482,211.64021164021165
1192.0,0.9,0.9859566827338795,6.000572387733181,211.64021164021165
1192.5,0.9,0.9863215015600973,5.843247547624061,211.64021164021165
1193.0,0.9,0.9866721619950798,5.692101667732862,211.64021164021165
1193.5,0.9,0.9870094345226385,5.5467941142218145,211.64021164021165
1194.0,0.9,0.9873340351114195,5.407008671501384,211.64021164021165
1194.5,0.9,0.9876466299483565,5.272451394455586,211.64021164021165
1195.0,0.9,0.9879478396873749,5.142848683427239,211.64021164021165
1160.0,1.0,0.0,inf,211.64021164021165
1160.5,1.0,0.0,inf,211.64021164021165
1161.0,1.0,0.0,inf,211.64021164021165
1161.5,1.0,0.0,inf,211.64021164021165
1162.0,1.0,0.0,inf,211.64021164021165
1162.5,1.0,0.0,inf,211.64021164021165
1163.0,1.0,0.0,inf,211.64021164021165
1163.5,1.0,0.0,inf,211.64021164021165
1164.0,1.0,0.0,inf,211.64021164021165
1164.5,1.0,0.0,inf,211.64021164021165
1165.0,1.0,0.0,inf,211.64021164021165
1165.5,1.0,0.0,inf,211.64021164021165
1166.0,1.0,0.0,inf,211.64021164021165
1166.5,1.0,0.0,inf,211.64021164021165
1167.0,1.0,0.0,inf,211.64021164021165
1167.5,1.0,0.0,inf,211.64021164021165
1168.0,1.0,0.0,inf,211.64021164021165
1168.5,1.0,0.0,inf,211.64021164021165
1169.0,1.0,0.0,inf,211.64021164021165
1169.5,1.0,0.0,inf,211.64021164021165
1170.0,1.0,0.0,inf,211.64021164021165
1170.5,1.0,0.0,inf,211.64021164021165
1171.0,1.0,0.0,inf,211.64021164021165
1171.5,1.0,0.0,inf,211.64021164021165
1172.0,1.0,0.0,inf,211.64021164021165
1172.5,1.0,0.0,inf,211.64021164021165
1173.0,1.0,0.0,inf,211.64021164021165
1173.5,1.0,0.0,inf,211.64021164021165
1174.0,1.0,0.38214936042262726,502.19209104230305,211.64021164021165
1174.5,1.0,0.6245511226940941,217.75619037130636,211.64021164021165
1175.0,1.0,0.7342285914802029,138.2671188404119,211.64021164021165
1175.5,1.0,0.7954094452711871,100.88836452245476,211.64021164021165
1176.0,1.0,0.8342600384728482,79.16766427222589,211.64021164021165
1176.5,1.0,0.8610757867552696,64.97208123924904,211.64021164021165
1177.0,1.0,0.8806835253511699,54.96983461599064,211.64021164021165
1177.5,1.0,0.8956382179307555,47.54306340867222,211.64021164021165
1178.0,1.0,0.9074166527614586,41.81132473259293,211.64021164021165
1178.5,1.0,0.9169311813268406,37.25442932411592,211.64021164021165
1179.0,1.0,0.9247755951447041,33.54528314143511,211.64021164021165
1179.5,1.0,0.9313528883346592,30.46789931898913,211.64021164021165
1180.0,1.0,0.9369461418722125,27.873914768592417,211.64021164021165
1180.5,1.0,0.9417600111991712,25.65804579638694,211.64021164021165
1181.0,1.0,0.9459461127960547,23.743510431653498,211.64021164021165
1181.5,1.0,0.9496191535029483,22.07299506650607,211.64021164021165
1182.0,1.0,0.9528675136151802,20.602851946627545,211.64021164021165
1182.5,1.0,0.9557603873296581,19.29925522504315,211.64021164021165
1183.0,1.0,0.9583527194654603,18.1355853874138,211.64021164021165
1183.5,1.0,0.9606886928971538,17.090607245017697,211.64021164021165
1184.0,1.0,0.9628042398038861,16.147174118484692,211.64021164021165
1184.5,1.0,0.9647288812417469,15.291289064307751,211.64021164021165
1185.0,1.0,0.9664870956448541,14.511413409336802,211.64021164021165
1185.5,1.0,0.9680993512033171,13.797949781622766,211.64021164021165
1186.0,1.0,0.9695828946296667,13.14285033653855,211.64021164021165
1186.5,1.0,0.9709523608315567,12.539316178590337,211.64021164021165
1187.0,1.0,0.972220249195481,11.981564137638504,211.64021164021165
1187.5,1.0,0.9733972993269259,11.464643925016937,211.64021164021165
1188.0,1.0,0.9744927901644512,10.98429341414449,211.64021164021165
1188.5,1.0,0.9755147800973617,10.53682308293909,211.64021164021165
1189.0,1.0,0.97647030122907,10.119022985141422,211.64021164021165
1189.5,1.0,0.9773655176860585,9.72808728758287,211.64021164021165
1190.0,1.0,0.9782058555029216,9.36155262179858,211.64021164021165
1190.5,1.0,0.9789961098639071,9.017247386981362,211.64021164021165
1191.0,1.0,0.9797405341761424,8.693249799885765,211.64021164021165
1191.5,1.0,0.9804429144664514,8.387852980231031,211.64021164021165
1192.0,1.0,0.9811066318475354,8.099535732446073,211.64021164021165
1192.5,1.0,0.9817347152272964,7.826937968205681,211.64021164021165
1193.0,1.0,0.9823298859940564,7.568839931977354,211.64021164021165
1193.5,1.0,0.9828945960674426,7.324144560301876,211.64021164021165
1194.0,1.0,0.9834310604362506,7.091862436838671,211.64021164021165
1194.5,1.0,0.9839412850931863,6.871098908225569,211.64021164021165
1195.0,1.0,0.9844270911086206,6.661043007150155,211.64021164021165
